algorithm,source_file,task_id,round_raw,round_id,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,test_loss
DeNICE,denice_eval_5seed_summary.csv,0,19,19,0.7484135995291289,0.2873710671210517,0.3618949675506145,0.2958656557477868,0.7146238917733351,2.5042809601575136
DeNICE,denice_eval_5seed_summary.csv,1,19,19,0.7226041256341644,0.3076138778709683,0.3815275216042903,0.3029609146022464,0.674300372951262,13.072161548289577
DeNICE,denice_eval_5seed_summary.csv,2,19,19,0.4201314033656591,0.217015642326794,0.2844762795991419,0.1890801282565901,0.3300268320810032,57.251836916140704
DeNICE,denice_eval_5seed_summary.csv,3,19,19,0.2597018762075506,0.1578617602583055,0.2205224925783265,0.1272023222920345,0.1796756526467382,76.89160886575459
DeNICE,denice_eval_5seed_summary.csv,4,19,19,0.231375165255155,0.1370507010757733,0.1891630079615027,0.1085001397655952,0.1657324200655551,77.87952876330856
DeNICE,denice_eval_5seed_summary.csv,5,19,19,0.2249074042972166,0.1104213537461988,0.160233324284557,0.0912589690826458,0.1572221473645532,79.26902546469366
FL_CGoFed,FL_CGoFed (1).csv,0,19,19,0.769878,0.128313,0.166667,0.144996,0.669777,
FL_CGoFed,FL_CGoFed (1).csv,1,19,19,0.956592,0.471687,0.4138,0.402071,0.93944,0.457112
FL_CGoFed,FL_CGoFed (1).csv,2,19,19,0.8291,0.378125,0.350933,0.336914,0.783275,0.965474
FL_CGoFed,FL_CGoFed (1).csv,3,19,19,0.64438,0.2717,0.334283,0.276213,0.539544,
FL_CGoFed,FL_CGoFed (1).csv,4,19,19,0.508643,0.150006,0.192335,0.151416,0.41524,
FL_CGoFed,FL_CGoFed (1).csv,5,19,19,0.485444,0.128997,0.162752,0.129238,0.39861,
FL_DER,Fed_DER (1).csv,0,19,19,0.769877786,0.128312964,0.166666667,0.144996412,0.6697771,1.050503077
FL_DER,Fed_DER (1).csv,1,19,19,0.366198863,0.093577056,0.171658013,0.091746231,0.197297729,2.032595986
FL_DER,Fed_DER (1).csv,2,19,19,0.14044207,0.061667045,0.174703803,0.052631964,0.035426386,8.101462549
