algorithm,source_file,rows,missing_task_rounds,missing_f1_weighted_rows,final_avg_accuracy,final_avg_f1_weighted,final_avg_f1_macro,final_avg_recall_macro,task5_final_accuracy,task5_final_f1_weighted,best_avg_f1_weighted_by_task
FL_NICE,FL_NICE (1).csv,120,0,0,0.8145402551915794,0.8090974708170108,0.2763719680974105,0.29509812727686374,0.679039871178032,0.6707789290666947,0.8129803023192083
FL_FedCBDR,FL_FedCBDR (1).csv,120,0,0,0.7888313320000001,0.7522702735000001,0.5260078869999999,0.578572003,0.611323782,0.540281172,0.7944660801666666
IL_NICE,IL_NICE (1).csv,120,0,0,0.7447751787768656,0.7105594358999386,0.2738051786070124,0.31616138632437685,0.5582727561425408,0.4973214821733269,0.7359180253565188
FL_CGoFed,FL_CGoFed (1).csv,120,0,0,0.6990061666666666,0.6243143333333333,0.24014133333333332,0.27012833333333336,0.485444,0.39861,0.7059893333333332
IL_DER,results (2).zip::results_il_der_eval/all_round_metrics.csv,120,0,0,0.550977696228818,0.5427110742270959,0.1760151943586167,0.2438655661003082,0.0263674691359715,0.008468866403383,0.6237960111297073
IL_LWF,IL_LWF (1).csv,120,0,0,0.4920608912313693,0.43792949906802386,0.09706230629181867,0.1438932164586734,0.0267629297135276,0.0023786391317683,0.49967148939353995
IL_EWC,IL_EWC (1).csv,120,0,0,0.43393484738886934,0.39135859518933347,0.07651948224666105,0.12879410450309597,0.02679506412481,0.0072829120088748,0.4056353083112639
FL_LWF,100 Clients(FedavgLWF).csv,120,0,0,0.4809751891666667,0.38986382466666664,0.11751578033333332,0.1692574465,0.178417211,0.065808801,0.5281734370000001
Plexus,100 Clients(Plexus).csv,120,0,0,0.43322866666666665,0.37807549516666655,0.20354933333333333,0.2779756666666667,0.007944,0.000127703,0.46528433883333337
FL_EWC,100 Clients(FedavgEWC).csv,120,0,0,0.4307968906666666,0.37539302950000003,0.2074525121666667,0.2741606325,0.026702215,0.013326556,0.3908558178333333
DeNICE,denice_eval_5seed_summary.csv,120,0,0,0.4345222623814791,0.3702635528137412,0.18581135495781642,0.26630293226307217,0.2249074042972166,0.1572221473645532,0.3833104291345975
FL_DER,Fed_DER (1).csv,120,0,0,0.2743824896666667,0.16949983966666668,0.072717277,0.1468651465,0.178417211,0.065808801,0.2515501576666666
