algorithm,source_file,task_id,round_raw,round_id,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,test_loss
FedAvgEWC,100 Clients(FedavgEWC).csv,0,19,19,0.989567747,0.654180564,0.512298776,0.523299446,0.985015402,0.054939396
FedAvgEWC,100 Clients(FedavgEWC).csv,1,19,19,0.930532103,0.396560953,0.477094118,0.427940368,0.900307133,1.508407618
FedAvgEWC,100 Clients(FedavgEWC).csv,2,19,19,0.408715353,0.122045529,0.293898798,0.158012113,0.274302733,12.52175222
FedAvgEWC,100 Clients(FedavgEWC).csv,3,19,19,0.201645362,0.08883558,0.211526213,0.101622064,0.076530429,24.55534698
FedAvgEWC,100 Clients(FedavgEWC).csv,4,19,19,0.027618564,0.01520469,0.091604051,0.012868359,0.002875924,28.19719017
FedAvgEWC,100 Clients(FedavgEWC).csv,5,19,19,0.026702215,0.016047923,0.058541839,0.020972723,0.013326556,50.81039254
FedAvgLWF,100 Clients(FedavgLWF).csv,0,19,19,0.769877786,0.128312964,0.166666667,0.144996412,0.6697771,1.996629215
FedAvgLWF,100 Clients(FedavgLWF).csv,1,19,19,0.954605489,0.244471407,0.248544074,0.238739518,0.948516985,1.157711668
FedAvgLWF,100 Clients(FedavgLWF).csv,2,19,19,0.604625109,0.238068972,0.225096506,0.176177095,0.509863741,1.910445752
FedAvgLWF,100 Clients(FedavgLWF).csv,3,19,19,0.198850598,0.120143239,0.153304332,0.064013612,0.079733979,2.28298107
FedAvgLWF,100 Clients(FedavgLWF).csv,4,19,19,0.179474942,0.025200474,0.115931055,0.040275498,0.065482342,2.9868346
FedAvgLWF,100 Clients(FedavgLWF).csv,5,19,19,0.178417211,0.029864983,0.106002045,0.040892547,0.065808801,3.128153284
Plexus,100 Clients(Plexus).csv,0,19,19,0.989582,0.655349,0.508862,0.519028,0.984945474,0.058197
Plexus,100 Clients(Plexus).csv,1,39,19,0.930515,0.369394,0.476962,0.397667,0.904238162,1.165033
Plexus,100 Clients(Plexus).csv,2,59,19,0.408771,0.118431,0.297513,0.154202,0.269185539,3.930286
Plexus,100 Clients(Plexus).csv,3,79,19,0.215054,0.079402,0.242522,0.113679,0.087595445,5.271339
Plexus,100 Clients(Plexus).csv,4,99,19,0.047506,0.026135,0.112583,0.036255,0.022360648,1.714083
Plexus,100 Clients(Plexus).csv,5,119,19,0.007944,0.028011,0.029412,0.000465,0.000127703,1.249517
